item,wdLabel,coord,www,layer,article,img,SCBkommun
http://www.wikidata.org/entity/Q505046,Smedjebackens kommun,Point(15.416666666 60.133333333),http://www.smedjebacken.se,Dalarnas län,https://sv.wikipedia.org/wiki/Smedjebackens_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Smedjebacken.jpg, https://kommunsiffror.scb.se/?id1=2061&id2=null
http://www.wikidata.org/entity/Q504630,Orsa kommun,Point(14.616666666 61.116666666),http://www.orsa.se,Dalarnas län,https://sv.wikipedia.org/wiki/Orsa_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Orsa%20Kommunhus.JPG, https://kommunsiffror.scb.se/?id1=2034&id2=null
http://www.wikidata.org/entity/Q507684,Hedemora kommun,Point(15.983333333 60.283333333),http://www.hedemora.se,Dalarnas län,https://sv.wikipedia.org/wiki/Hedemora_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Tj%C3%A4dernhuset%2020111016%2001.JPG, https://kommunsiffror.scb.se/?id1=2083&id2=null
http://www.wikidata.org/entity/Q500071,Avesta kommun,Point(16.168333333 60.145555555),https://www.avesta.se,Dalarnas län,https://sv.wikipedia.org/wiki/Avesta_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Avesta%20kommunhus%2001.jpg, https://kommunsiffror.scb.se/?id1=2084&id2=null
http://www.wikidata.org/entity/Q509651,Leksands kommun,Point(15.0 60.733333333),http://www.leksand.se,Dalarnas län,https://sv.wikipedia.org/wiki/Leksands_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Leksand%20-%20KMB%20-%2016001000003866.jpg, https://kommunsiffror.scb.se/?id1=2029&id2=null
http://www.wikidata.org/entity/Q2642771,Gagnefs kommun,Point(15.133333333 60.55),http://www.gagnef.se,Dalarnas län,https://sv.wikipedia.org/wiki/Gagnefs_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Djur%C3%A5s%202015d.jpg, https://kommunsiffror.scb.se/?id1=2026&id2=null
http://www.wikidata.org/entity/Q374794,Region Gotland,Point(18.280555555 57.615277777),http://www.gotland.se,Gotlands län,https://sv.wikipedia.org/wiki/Region_Gotland,http://commons.wikimedia.org/wiki/Special:FilePath/P%2018%20-%20Kanslihuset.jpg, https://kommunsiffror.scb.se/?id1=0980&id2=null
http://www.wikidata.org/entity/Q62464,Hofors kommun,Point(16.283333333 60.55),http://www.hofors.se,Gävleborgs län,https://sv.wikipedia.org/wiki/Hofors_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Hofors%20centrum.jpg, https://kommunsiffror.scb.se/?id1=2104&id2=null
http://www.wikidata.org/entity/Q62469,Bollnäs kommun,Point(16.4 61.35),http://www.bollnas.se,Gävleborgs län,https://sv.wikipedia.org/wiki/Bolln%C3%A4s_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Bolln%C3%A4s%20kommunhus.png, https://kommunsiffror.scb.se/?id1=2183&id2=null
http://www.wikidata.org/entity/Q510010,Gävle kommun,Point(17.166666666 60.666666666),http://www.gavle.se,Gävleborgs län,https://sv.wikipedia.org/wiki/G%C3%A4vle_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/R%C3%A5dhuset%2C%20G%C3%A4vle%2C%20fr%C3%A5n%20norr.jpg, https://kommunsiffror.scb.se/?id1=2180&id2=null
http://www.wikidata.org/entity/Q29963,Hudiksvalls kommun,Point(17.116666666 61.733333333),http://www.hudiksvall.se,Gävleborgs län,https://sv.wikipedia.org/wiki/Hudiksvalls_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Hudiksvall2010d.JPG, https://kommunsiffror.scb.se/?id1=2184&id2=null
http://www.wikidata.org/entity/Q145835,Söderhamns kommun,Point(17.083333333 61.3),http://www.soderhamn.se,Gävleborgs län,https://sv.wikipedia.org/wiki/S%C3%B6derhamns_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/R%C3%85DHUSTORGET%2C%20F%C3%96RVALTNINGSHUSET.JPG, https://kommunsiffror.scb.se/?id1=2182&id2=null
http://www.wikidata.org/entity/Q149539,Sandvikens kommun,Point(16.783333333 60.616666666),https://sandviken.se,Gävleborgs län,https://sv.wikipedia.org/wiki/Sandvikens_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Sandviken%20railway%20station.JPG, https://kommunsiffror.scb.se/?id1=2181&id2=null
http://www.wikidata.org/entity/Q514805,Nordanstigs kommun,Point(17.066666666 61.983333333),http://www.nordanstig.se,Gävleborgs län,https://sv.wikipedia.org/wiki/Nordanstigs_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Svensg%C3%A5rd%20i%20%C3%85%2001.JPG, https://kommunsiffror.scb.se/?id1=2132&id2=null
http://www.wikidata.org/entity/Q515235,Ljusdals kommun,Point(16.083333333 61.833333333),http://www.ljusdal.se,Gävleborgs län,https://sv.wikipedia.org/wiki/Ljusdals_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Riotorg.JPG, https://kommunsiffror.scb.se/?id1=2161&id2=null
http://www.wikidata.org/entity/Q505085,Ovanåkers kommun,Point(15.816666666 61.383333333),https://www.ovanaker.se/,Gävleborgs län,https://sv.wikipedia.org/wiki/Ovan%C3%A5kers_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Edsbyns%20station%2000173.JPG, https://kommunsiffror.scb.se/?id1=2121&id2=null
http://www.wikidata.org/entity/Q505109,Ockelbo kommun,Point(16.716666666 60.883333333),http://www.ockelbo.se,Gävleborgs län,https://sv.wikipedia.org/wiki/Ockelbo_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Ockelbo%20station%20street%20side.JPG, https://kommunsiffror.scb.se/?id1=2101&id2=null
http://www.wikidata.org/entity/Q179180,Varbergs kommun,Point(12.25 57.1),https://www.varberg.se,Hallands län,https://sv.wikipedia.org/wiki/Varbergs_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Varbergs%20stadshus.jpg, https://kommunsiffror.scb.se/?id1=1383&id2=null
http://www.wikidata.org/entity/Q508168,Falkenbergs kommun,Point(12.5 56.916666666),https://kommun.falkenberg.se/,Hallands län,https://sv.wikipedia.org/wiki/Falkenbergs_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/StadshusetFalkenberg.jpg, https://kommunsiffror.scb.se/?id1=1382&id2=null
http://www.wikidata.org/entity/Q487502,Laholms kommun,Point(13.033333333 56.516666666),http://www.laholm.se,Hallands län,https://sv.wikipedia.org/wiki/Laholms_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Laholms%20stadshus%20och%20bibliotek.jpg, https://kommunsiffror.scb.se/?id1=1381&id2=null
http://www.wikidata.org/entity/Q504692,Halmstads kommun,Point(12.85 56.666666666),http://www.halmstad.se,Hallands län,https://sv.wikipedia.org/wiki/Halmstads_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Halmstad%20IMG%205254%20raadhuset.jpg, https://kommunsiffror.scb.se/?id1=1380&id2=null
http://www.wikidata.org/entity/Q61823286,Oskarströms kommun,Point(12.963403888 56.805058888),,Hallands län,https://sv.wikipedia.org/wiki/Oskarstr%C3%B6ms_kommun,, https://kommunsiffror.scb.se/?id1=1360&id2=null
http://www.wikidata.org/entity/Q498477,Hylte kommun,Point(13.25 57.0),http://www.hylte.se,Hallands län,https://sv.wikipedia.org/wiki/Hylte_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Hyltebruk%202018-11-02%2007.jpg, https://kommunsiffror.scb.se/?id1=1315&id2=null
http://www.wikidata.org/entity/Q499380,Kungsbacka kommun,Point(12.066666666 57.483333333),http://www.kungsbacka.se,Hallands län,https://sv.wikipedia.org/wiki/Kungsbacka_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Kungsbacka%2C%20Halland%2C%20Sweden%20%286072562519%29%20%282%29.jpg, https://kommunsiffror.scb.se/?id1=1384&id2=null
http://www.wikidata.org/entity/Q271153,Åre kommun,Point(13.466666666 63.35),http://www.are.se,Jämtlands län,https://sv.wikipedia.org/wiki/%C3%85re_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%85resj%C3%B6n%20Dcastor%202003.jpg, https://kommunsiffror.scb.se/?id1=2321&id2=null
http://www.wikidata.org/entity/Q306789,Östersunds kommun,Point(14.666666666 63.183333333),http://www.ostersund.se,Jämtlands län,https://sv.wikipedia.org/wiki/%C3%96stersunds_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%96stersunds%20r%C3%A5dhus.jpg, https://kommunsiffror.scb.se/?id1=2380&id2=null
http://www.wikidata.org/entity/Q504261,Bräcke kommun,Point(15.416666666 62.75),http://www.bracke.se,Jämtlands län,https://sv.wikipedia.org/wiki/Br%C3%A4cke_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Br%C3%A4cke%20kommunhus.jpg, https://kommunsiffror.scb.se/?id1=2305&id2=null
http://www.wikidata.org/entity/Q513421,Härjedalens kommun,Point(14.35 62.033333333),https://www.herjedalen.se/,Jämtlands län,https://sv.wikipedia.org/wiki/H%C3%A4rjedalens_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Mer%20av%20Svegs%20centrum.jpg, https://kommunsiffror.scb.se/?id1=2361&id2=null
http://www.wikidata.org/entity/Q514707,Krokoms kommun,Point(14.5 63.316666666),http://www.krokom.se,Jämtlands län,https://sv.wikipedia.org/wiki/Krokoms_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Kommunhuset%20i%20Krokom.JPG, https://kommunsiffror.scb.se/?id1=2309&id2=null
http://www.wikidata.org/entity/Q514770,Strömsunds kommun,Point(15.583333333 63.85),http://www.stromsund.se,Jämtlands län,https://sv.wikipedia.org/wiki/Str%C3%B6msunds_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Str%C3%B6msund%20city%20hall.jpg, https://kommunsiffror.scb.se/?id1=2313&id2=null
http://www.wikidata.org/entity/Q515342,Ragunda kommun,Point(16.35 63.1),https://www.ragunda.se/,Jämtlands län,https://sv.wikipedia.org/wiki/Ragunda_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Hammarforsens%20Kraftverk.jpg, https://kommunsiffror.scb.se/?id1=2303&id2=null
http://www.wikidata.org/entity/Q10498054,Fors kommun,Point(16.656388888 63.013611111),,Jämtlands län,"https://sv.wikipedia.org/wiki/Fors_landskommun,_J%C3%A4mtland",http://commons.wikimedia.org/wiki/Special:FilePath/D%C3%B6da%20fallet%2020061014.jpg, https://kommunsiffror.scb.se/?id1=2301&id2=null
http://www.wikidata.org/entity/Q61826364,Svegs kommun,Point(14.364831111 62.034748055),,Jämtlands län,https://sv.wikipedia.org/wiki/Svegs_kommun,, https://kommunsiffror.scb.se/?id1=2361&id2=null
http://www.wikidata.org/entity/Q845930,Bergs kommun,Point(14.45 62.766666666),https://www.berg.se,Jämtlands län,https://sv.wikipedia.org/wiki/Bergs_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Gatubild%20fr%C3%A5n%20Svenstavik.jpg, https://kommunsiffror.scb.se/?id1=2326&id2=null
http://www.wikidata.org/entity/Q280562,Värnamo kommun,Point(14.033333333 57.183333333),https://kommun.varnamo.se,Jönköpings län,https://sv.wikipedia.org/wiki/V%C3%A4rnamo_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/V%C3%A4rnamo%20Stadshuset.JPG, https://kommunsiffror.scb.se/?id1=0683&id2=null
http://www.wikidata.org/entity/Q503167,Aneby kommun,Point(14.8 57.833333333),http://www.aneby.se,Jönköpings län,https://sv.wikipedia.org/wiki/Aneby_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Stierngranatsmuseet.JPG, https://kommunsiffror.scb.se/?id1=0604&id2=null
http://www.wikidata.org/entity/Q503198,Habo kommun,Point(14.066666666 57.916666666),http://www.habokommun.se,Jönköpings län,https://sv.wikipedia.org/wiki/Habo_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Habo%20Sweden%2001.jpg, https://kommunsiffror.scb.se/?id1=1623&id2=null
http://www.wikidata.org/entity/Q503198,Habo kommun,Point(14.066666666 57.916666666),http://www.habokommun.se,Jönköpings län,https://sv.wikipedia.org/wiki/Habo_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Habo%20Sweden%2001.jpg, https://kommunsiffror.scb.se/?id1=0643&id2=null
http://www.wikidata.org/entity/Q512035,Eksjö kommun,Point(14.966666666 57.666666666),http://www.eksjo.se,Jönköpings län,https://sv.wikipedia.org/wiki/Eksj%C3%B6_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Eksj%C3%B6%20Lilla%20Torg.jpg, https://kommunsiffror.scb.se/?id1=0686&id2=null
http://www.wikidata.org/entity/Q504689,Jönköpings kommun,Point(14.2 57.783333333),http://www.jonkoping.se,Jönköpings län,https://sv.wikipedia.org/wiki/J%C3%B6nk%C3%B6pings_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/R%C3%A5dhuset-J%C3%B6nk%C3%B6ping.JPG, https://kommunsiffror.scb.se/?id1=0680&id2=null
http://www.wikidata.org/entity/Q505052,Vetlanda kommun,Point(15.066666666 57.433333333),https://kommun.vetlanda.se/,Jönköpings län,https://sv.wikipedia.org/wiki/Vetlanda_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Stadshuset%20i%20Vetlanda.jpg, https://kommunsiffror.scb.se/?id1=0685&id2=null
http://www.wikidata.org/entity/Q15149386,Anderstorps kommun,Point(13.634358888 57.279888055),,Jönköpings län,https://sv.wikipedia.org/wiki/Anderstorps_kommun,, https://kommunsiffror.scb.se/?id1=0666&id2=null
http://www.wikidata.org/entity/Q15205707,Unnaryds kommun,Point(13.528551944 56.955348888),,Jönköpings län,https://sv.wikipedia.org/wiki/Unnaryds_kommun,, https://kommunsiffror.scb.se/?id1=0622&id2=null
http://www.wikidata.org/entity/Q505071,Tranås kommun,Point(14.966666666 58.033333333),http://www.tranas.se,Jönköpings län,https://sv.wikipedia.org/wiki/Tran%C3%A5s_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Stadshuset%20vid%20Stadshusbron%20i%20Tran%C3%A5s%2C%20den%2027%20april%202007.jpg, https://kommunsiffror.scb.se/?id1=0687&id2=null
http://www.wikidata.org/entity/Q505076,Mullsjö kommun,Point(13.883333333 57.916666666),http://www.mullsjo.se,Jönköpings län,https://sv.wikipedia.org/wiki/Mullsj%C3%B6_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Mullsj%C3%B6%2C%20den%2020%20maj%202007%2C%20bild%201.JPG, https://kommunsiffror.scb.se/?id1=0642&id2=null
http://www.wikidata.org/entity/Q505096,Nässjö kommun,Point(14.683333333 57.65),http://www.nassjo.se,Jönköpings län,https://sv.wikipedia.org/wiki/N%C3%A4ssj%C3%B6_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Stadshuset%20i%20N%C3%A4ssj%C3%B6%20oktober%202013.jpg, https://kommunsiffror.scb.se/?id1=0682&id2=null
http://www.wikidata.org/entity/Q505239,Sävsjö kommun,Point(14.666666666 57.4),http://www.savsjo.se,Jönköpings län,https://sv.wikipedia.org/wiki/S%C3%A4vsj%C3%B6_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/LA2-vx06-savsjo-tingshus.jpg, https://kommunsiffror.scb.se/?id1=0684&id2=null
http://www.wikidata.org/entity/Q505259,Gislaveds kommun,Point(13.533333333 57.3),http://www.gislaved.se,Jönköpings län,https://sv.wikipedia.org/wiki/Gislaveds_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Roland%20Andersson%20Iskristaller.JPG, https://kommunsiffror.scb.se/?id1=0662&id2=null
http://www.wikidata.org/entity/Q605329,Vaggeryds kommun,Point(14.116666666 57.5),http://www.vaggeryd.se,Jönköpings län,https://sv.wikipedia.org/wiki/Vaggeryds_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Skillingaryds%20station.jpg, https://kommunsiffror.scb.se/?id1=0665&id2=null
